# Module-size ratchet ceilings (containment sprint). Enforced by
# scripts/check-module-size.sh via `bun run check:module-size` (in verify).
# Raising a ceiling is a conscious, reviewer-visible act. Lower ceilings in
# the same commit as any peel (the guard fails on >50 lines of stale slack).
# Columns: path	max_lines	policy	note
src/commands/doctor.ts	4296	ratchet	peel target: containment sprint C8-C13; grown v0.46.x keyless not_configured state + chat fallback-chain inert warning wiring
src/core/operations.ts	303	ratchet	peel target: containment sprint C4-C7
src/core/postgres-engine.ts	5858	ratchet	grown v0.46.25.0 private-queue wave: forward-reference bootstrap for owner/lease columns
src/core/pglite-engine.ts	5902	ratchet	grown v0.46.25.0 private-queue wave: forward-reference bootstrap for owner/lease columns
src/core/migrate.ts	668	region-exempt	append-only MIGRATIONS array grows freely; runner logic is ratcheted
src/commands/sync.ts	4327	ratchet	grown v0.46.24.0 serve-delegated sync: onProgress seam + help text
src/core/ai/gateway.ts	4428	ratchet	watchlist; merged: dream-wave turn permits + key-aware effective-model reconfigure + env-only worker refresh + discovery endpoint-trust docstring
src/cli.ts	3499	ratchet	grown v0.46.24.0: serve-delegated sync preflight hook
src/core/cycle.ts	3093	ratchet	grown v0.46.25.0 private-queue wave: cycle-start orphan recovery
src/commands/serve-http.ts	3194	ratchet	grown v0.46.23.0 review fix wave: github-kind webhook gating + case-insensitive repo match
src/commands/jobs.ts	3065	ratchet	grown v0.46.25.0 private-queue wave: worker startup recovery + maintenance owner id + stats hint
src/core/search/hybrid.ts	2629	ratchet	grown v0.46.23.0 review fix wave: supersede scoping + edge-existence gate
src/core/engine.ts	2351	ratchet	grown v0.46.23.0: putPage allowEmptyOverwrite contract (#4335)
src/commands/autopilot.ts	2305	ratchet	grown v0.46.25.0 private-queue wave: recovery-coverage comment
src/commands/extract.ts	2161	ratchet
src/commands/extract-conversation-facts.ts	2045	ratchet	grown v0.46.x per-provider gateway-unavailable copy
src/core/import-file.ts	2000	ratchet	grown v0.46.11.0 five-issue wave
src/core/cycle/synthesize.ts	2745	ratchet	grown v0.46.25.0 private-queue wave: monotonic lease horizon + throttle
src/commands/embed.ts	1963	ratchet
src/core/types.ts	1879	ratchet	grown v0.46.22.0 phone wave: supersession rerank result fields (#4056)
src/commands/skillpack.ts	1360	ratchet
src/core/minions/queue.ts	2356	ratchet	grown v0.46.25.0 private-queue wave: monotonic lease + reason family + public classifier
src/core/schema-embedded.ts	1501	ratchet	generated schema bundle grew for private queue metadata
src/commands/init.ts	1950	ratchet	grown v0.46.x keyless capability notices
src/commands/integrations.ts	1675	ratchet
src/core/minions/handlers/subagent.ts	1818	ratchet	merged: master v131 settle rework + dream-wave C5 peel + C6 accounting + C7 lease heartbeats/lost-lease aborts + C9 oneshot dispatch + adversarial fix batches
src/commands/bootstrap.ts	1923	ratchet	grandfathered at merge (grew past the 1500 cap on master)
src/core/minions/worker.ts	1560	ratchet	grandfathered at merge (grew past the 1500 cap on master, #4170); grown v0.46.11.0 five-issue wave
src/commands/sources.ts	1790	ratchet	grown v0.46.22.0 phone wave: github source kind (#4104)
src/core/link-extraction.ts	1504	ratchet	new row: crossed the 1500 unlisted cap in v0.46.22.0 phone wave (relative-link resolution, #3804)
src/core/github-source.ts	1560	ratchet	new row: crossed the 1500 unlisted cap in v0.46.23.0 review fix wave (scope-state gating, client hardening, symlink containment)
src/core/bootstrap/harness.ts	1947	ratchet
src/commands/hook.ts	1550	ratchet	cathedral-5 heartbeat extraction offsets part of the BrainBench-seam growth
